phase;numero;dossierMulti;dossier;ordseq;rubrique;rubrique4Erudit;id;titre;datePub;dateModif;auteurs;keywords;directeur;statut;phase
;2004;544,545;545;1;58;58;101;Phénoménologies : la relation de Jacques Derrida à Sartre et Heidegger;2004-09-14 23:54:00;2011-07-29 15:32:11;#Gérard Wormser;#Philosophie #Sartre, Jean-Paul #Derrida, Jacques  #Heidegger, Martin #Phénoménologie #Humanisme;Gérard Wormser;;
;2004;;545;2;58;58;102;Philosophy in a Time of Terror : Dialogues with Jürgen Habermas and Jacques Derrida;2004-10-22 16:23:00;2011-07-29 15:22:47;#Alexandra de Hoop Scheffer;#Philosophie #Politique et société #Derrida, Jacques  #Guerre et conflit;Gérard Wormser;;
;2004;;579;1;58;58;31;L'organisation du vivant : émergence ou survenance;2004-09-03 23:49:34;2008-05-27 02:13:40;#François Duchesneau;#Philosophie #Sciences et environnement #La réprésentation du vivant - Du cerveau au comportement;Gérard Wormser;;
;2004;542,579;579;2;58;58;106;La notion d'erreur médicale en droit Russe;2004-11-29 08:53:00;2011-08-01 11:40:24;#Kira Hoareau;#Politique et société #Sciences et environnement #Europe #La réprésentation du vivant - Du cerveau au comportement;Gérard Wormser;;
;2004;;579;3;58;58;32;De la biologie comme science historique;2004-09-03 23:49:51;2011-08-01 11:58:58;#Jean Gayon;#Philosophie #Sciences et environnement #La réprésentation du vivant - Du cerveau au comportement;Gérard Wormser;;
;2004;;579;4;58;58;29;Trouble de la pensée et identité;2004-09-03 23:50:37;2011-05-18 00:42:22;#Hélène Oppenheim-Gluckman;#Sciences et environnement #La réprésentation du vivant - Du cerveau au comportement #Lacan, Jacques;Gérard Wormser;;
;2004;;579;5;58;58;35;Une problématique médicale simple en apparence : l'enfant trop petit;2004-09-03 23:51:07;2011-06-30 15:44:10;#Raphaël Rappaport;#Sciences et environnement #La réprésentation du vivant - Du cerveau au comportement;Gérard Wormser;;
;2004;;579;6;58;58;34;Le proche ou le tiers médiateur;2004-09-03 23:51:20;2011-06-30 15:45:59;#Jacqueline Lagrée;#Politique et société #Sciences et environnement #La réprésentation du vivant - Du cerveau au comportement #Spinoza;Gérard Wormser;;
;2004;;579;7;58;58;105;La dignité de l'homme et la bioéthique;2004-11-10 08:45:00;2011-08-01 11:41:29;#Jean-Yves Goffi;#Politique et société #Sciences et environnement #La réprésentation du vivant - Du cerveau au comportement #Descartes;Gérard Wormser;;
;2004;;579;8;58;58;107;Neurosciences et psychiatrie. Attirance ou répulsion ?;2004-11-29 12:23:00;2011-08-01 11:39:10;#Marc Jeannerod;#Philosophie #Sciences et environnement #La réprésentation du vivant - Du cerveau au comportement #Identité;Gérard Wormser;;
;2004;;579;9;58;58;33;L'Apparence et L'Identité;2004-11-29 23:50:00;2011-08-01 11:57:26;#Benjamin  Kilborne;#Philosophie #Sciences et environnement #La réprésentation du vivant - Du cerveau au comportement;Gérard Wormser;;
;2004;;579;10;58;58;30;Sciences cognitives et modèles de la pensée;2004-11-30 17:50:00;2011-08-01 11:56:25;#Brigitte Chamak;#Philosophie #Sciences et environnement #La réprésentation du vivant - Du cerveau au comportement;Gérard Wormser;;
;2004;;579;1;107;107;579;La représentation du vivant - Du cerveau au comportement;2004-11-27 01:35:00;2011-06-14 21:25:54;#Gérard Wormser;#Philosophie #Sciences et environnement #La réprésentation du vivant - Du cerveau au comportement;Gérard Wormser;;
;2004;;;1;58;58;856;L'organisation du vivant : émergence ou survenance;2004-09-03 15:20:00;2011-07-07 15:16:29;#François Duchesneau;#Philosophie #Sciences et environnement #La réprésentation du vivant - Du cerveau au comportement;Gérard Wormser;;
;2004;;;2;58;58;36;Responsible Conduct of Research : A View from America;2004-09-03 23:47:34;2011-04-04 05:18:41;#Patricia K. Woolf;;Gérard Wormser;;
;2004;;;3;58;58;76;Neurosciences et mémoire;2004-09-10 10:49:00;2008-06-10 06:43:33;#Jean-Claude Dupont;#Sciences et environnement #La réprésentation du vivant - Du cerveau au comportement;Gérard Wormser;;
;2004;;;4;58;58;100;A l'école, la laïcité, la diversité culturelle et la question identitaire;2004-09-14 09:54:00;2011-12-23 12:14:47;#Alain Seksig;#Politique et société #Religions #Identité #Morin, Edgar #Diversité culturelle #Éducation et enseignement #Voltaire #France;Gérard Wormser;;
;2004;;;5;58;58;81;L'intériorité : espace imaginaire ou duperie ?;2004-09-20 10:41:30;2011-12-23 12:46:20;#Jean-Paul Chartier;#Philosophie #Sartre, Jean-Paul #Lacan, Jacques #Psychanalyse #Imaginaire;Gérard Wormser;;
;2004;;;6;58;58;77;Actualité de l'animal-machine ?;2004-09-20 10:46:38;2011-08-01 11:50:33;#Catherine Larrère #Raphaël Larrère;#Philosophie #Sciences et environnement #La réprésentation du vivant - Du cerveau au comportement #Descartes;Gérard Wormser;;
;2004;;;7;58;58;73;De l'amour de l'art à l'art de l'amour;2004-09-20 10:56:00;2011-10-13 17:19:46;#Yann Kilborne;;Gérard Wormser;;
;2004;;;8;58;58;90;Russia and the nation-state building in Latvia;2004-09-20 11:26:08;2011-05-30 07:43:43;#Thibault Muzergues;;Gérard Wormser;;
;2004;;;9;58;58;92;La récession à la chair et les difficultés de l'ontologie;2004-09-20 11:35:24;2011-08-09 15:39:13;#Alain Flajoliet;;Gérard Wormser;;
;2004;;;10;58;58;95;De l'Académie de Platon à la Star Academy;2004-09-24 17:43:00;2011-06-22 16:52:20;#Michèle Narvaez;;Gérard Wormser;;
;2004;;;11;58;58;97;Wie globalisiert man soziale Gerechtigkeit ?;2004-09-28 10:49:52;2011-06-21 11:42:44;#Bjorn Hacker;;Gérard Wormser;;
;2004;;;12;58;58;87;Les limites de l'expérience du vivant : l'enfant, son cancer, ses parents, ses soignants;2004-11-29 10:35:00;2011-08-01 11:53:20;#Daniel  Oppenheim;#Sciences et environnement #La réprésentation du vivant - Du cerveau au comportement;Gérard Wormser;;
;2004;;;13;58;58;75;Les animaux : comment, et qu'est-ce qu'en bien parler ?;2004-11-29 10:52:00;2011-08-01 11:43:21;#Hubert Vincent;#Philosophie #Sciences et environnement #La réprésentation du vivant - Du cerveau au comportement;Gérard Wormser;;
;2004;;;14;76;76;74;Généalogie du génocide rwandais;2004-09-20 10:53:43;2011-08-10 12:27:11;#Etienne Smith;;Gérard Wormser;;
;2004;;;15;76;76;99;"""Du retour, Abécédaire biopolitique"" d'Antonio Negri et Anne Dufourmantelle ";2004-09-30 13:49:00;2011-08-10 12:25:54;#Christophe Premat;#Deleuze, Gilles #Merleau-Ponty, Maurice #Negri, Antonio #Castoriadis, Cornelius;Gérard Wormser;;
;2005;;135;1;109;109;135;Les mécanismes guerriers ;2005-04-25 15:25:00;2011-10-17 10:10:49;#Christophe Premat;#Philosophie #Les mécanismes guerriers #Tarde, Gabriel #Guerre et conflit;Gérard Wormser;;
;2005;;135;2;58;58;117;L'épreuve de guerre dans la pensée de Heidegger;2005-02-25 11:41:59;2008-04-18 14:05:55;#Servanne Jollivet;#Heidegger, Martin;Gérard Wormser;;
;2005;;135;3;58;58;131;Marx, Bakounine et la guerre franco-allemande ;2005-02-25 11:42:56;2011-12-13 19:18:57;#Jean-Christophe Angaut;#Histoire #Politique et société #Europe #Les mécanismes guerriers #Marx, Karl #Bakounine, Mikhaïl  #Guerre et conflit;Gérard Wormser;;
;2005;;135;4;58;58;132;La « scène » de la guerre ou la monstration des mécanismes chez Eschyle et Kant;2005-02-25 12:11:53;2011-09-08 13:52:33;#Céline Acker;#Philosophie #Théâtre #Les mécanismes guerriers #Kant #Tarde, Gabriel #Eschyle #Guerre et conflit;Gérard Wormser;;
;2005;;135;5;58;58;133;Gabriel Tarde ou les ressorts psychologiques de la guerre ;2005-02-25 12:12:29;2011-08-01 11:20:22;#Gauthier Autin;#Philosophie #Politique et société #Les mécanismes guerriers #Tarde, Gabriel #Guerre et conflit #Freud, Sigmund;Gérard Wormser;;
;2005;;135;6;58;58;139;Mécanismes guerriers et fondation de l'État dans la pensée politique de Thomas Hobbes;2005-02-28 09:59:51;2011-08-01 11:10:35;#Sébastien Loisel;#Philosophie #Politique et société #Les mécanismes guerriers #Hobbes, Thomas #Guerre et conflit;Gérard Wormser;;
;2005;;135;7;58;58;144;Structures sociales et mécanismes guerriers : la guerre dans la sociologie wébérienne ;2005-03-02 11:30:57;2011-07-07 10:46:44;#Aurélien  Berlan;#Philosophie #Politique et société #Europe #Les mécanismes guerriers #Weber, Max #Clausewitz (von), Carl #Guerre et conflit #Démocratie #Capitalisme;Gérard Wormser;;
;2005;;135;8;58;58;169;La Grande Guerre a-t-elle brutalisée les sociétés européennes ? ;2005-03-06 23:37:34;2011-12-13 19:11:58;#Alexandra de Hoop Scheffer;#Politique et société #Europe #Les mécanismes guerriers #Guerre et conflit;Gérard Wormser;;
;2005;;135;9;58;58;171;Nazisme et guerre totale : entre mécanique et mystique;2005-03-07 00:06:05;2008-04-18 13:59:50;#Johann Chapoutot;#Histoire #Politique et société #Europe #Les mécanismes guerriers #Clausewitz (von), Carl #Heidegger, Martin #Guerre et conflit;Gérard Wormser;;
;2005;;544;1;58;58;160;Sartre, du mythe à l'histoire;2005-03-02 02:44:00;2008-04-11 07:20:53;#Gérard Wormser;#Sartre, Jean-Paul;Gérard Wormser;;
;2005;;544;2;58;58;153;Sartre et l'avenir de la démocratie libérale;2005-03-05 18:54:55;2011-07-29 15:46:34;#William Mac Bride;#Beauvoir (de), Simone #Politique et société #Sartre, Jean-Paul #Socialisme et Communisme;Gérard Wormser;;
;2005;;544;3;58;58;155;Sartre : La rhétorique de l'épitaphe ou le mot comme cercueil;2005-03-05 19:43:13;2011-07-29 15:49:25;#Deise Quintiliano;#Arts et lettres #Sartre, Jean-Paul;Gérard Wormser;;
;2005;;544;4;58;58;157;A antropologia estrutural e histórica de Jean-Paul Sartre;2005-03-05 21:00:50;2011-07-29 16:00:04;#André Dalpicolo;#Sartre, Jean-Paul;Gérard Wormser;;
;2005;;544;5;58;58;158;"Ethique et violence dans les ""Cahiers pour une morale"" de Sartre";2005-03-05 21:05:55;2011-07-29 15:45:28;#Gérard Wormser;#Arts et lettres #Sartre, Jean-Paul;Gérard Wormser;;
;2005;;544;7;58;58;156;"Sartre, Simmel e uma ""fenomenologia social"" das crônicas folhetinescas";2005-03-13 20:32:00;2010-11-30 15:22:35;#Ariane Ewald;#Sartre, Jean-Paul #Simmel, Georg;Gérard Wormser;;
;2005;544,545;544;6;58;58;159;Sartre et Derrida: les promesses du sujet;2005-03-05 22:06:59;2011-07-29 15:52:07;#Christina Howells;#Arts et lettres #Philosophie #Sartre, Jean-Paul #Derrida, Jacques ;Gérard Wormser;;
;2005;;579;1;58;58;167;Normes et enjeux de la représentation du vivant ;2005-03-06 23:28:23;2011-08-01 11:37:53;#Gérard Wormser;#Philosophie #Sciences et environnement #La réprésentation du vivant - Du cerveau au comportement #Spinoza;Gérard Wormser;;
;2005;;;1;58;58;120;Le Martyr : du religieux au politique;2005-02-14 02:58:00;2011-03-29 14:06:16;#Tina Maalouf;#Weber, Max #Lacan, Jacques;Gérard Wormser;;
;2005;;;2;58;58;118;Pour un libéralisme critique ;2005-02-25 15:13:09;2011-06-22 20:41:38;#Emilie Tardivel;;Gérard Wormser;;
;2005;;;3;58;58;121;L'expérience américaine des relations entre l'économie, la société et l'Etat;2005-02-25 15:14:43;2011-06-21 12:18:09;#William Mac Bride;#Politique et société #États-Unis #Milieu politique #Mondialisation #Démocratie #Capitalisme;Gérard Wormser;;
;2005;;;4;58;58;115;Hegemony as an Anglo-American Succession, 1815-2004;2005-02-25 15:15:59;2011-06-21 15:08:13;#Patrick O'Brien;#Politique et société #Europe #États-Unis #Smith, Adam #Relations internationales #Guerre et conflit;Gérard Wormser;;
;2005;;;5;58;58;134;Les conversions du politique en proie à la guerre civile ;2005-02-25 15:26:19;2011-04-09 02:53:49;#Ninon Grangé;;Gérard Wormser;;
;2005;;;6;58;58;136;La mise à nu des mécanismes guerriers ou la stratocratie ;2005-02-25 15:33:30;2011-08-01 11:16:02;#Christophe Premat;#Les mécanismes guerriers #Clausewitz (von), Carl #Guerre et conflit #Socialisme et Communisme #Capitalisme #Castoriadis, Cornelius;Gérard Wormser;;
;2005;;;7;58;58;858;L'épreuve de guerre dans la pensée de Heidegger;2005-02-25 16:00:00;2011-07-07 15:57:24;#Servanne Jollivet;#Histoire #Politique et société #Les mécanismes guerriers #Heidegger, Martin #Marx, Karl #Guerre et conflit;Gérard Wormser;;
;2005;;;8;58;58;129;"Pour un concept de l' ""e-citoyenneté""";2005-02-25 16:51:10;2011-04-20 05:32:36;#Paul Mathias;#Monde numérique #Politique et société #Démocratie #Espace public #Internet;Gérard Wormser;;
;2005;;;9;58;58;128;Manifeste pour une nouvelle littérature;2005-02-25 16:53:00;2011-08-09 15:32:46;#Roberto Gac;#Duras, Marguerite  #Simon, Claude #Shakespeare #Kafka, Frantz;Gérard Wormser;;
;2005;;;10;58;58;124;L'intertexte collectif de Belles Latinas 2004;2005-02-25 17:09:34;2011-08-09 15:31:12;#Roberto Gac;#Amérique latine;Gérard Wormser;;
;2005;;;11;58;58;114;From the Egyptian Crisis of 1882 to Iraq of 2003;2005-02-28 09:06:05;2011-06-21 15:15:38;#Hall Gardner;#Politique et société #Europe #Moyen Orient #Relations internationales #Guerre et conflit;Gérard Wormser;;
;2005;;;12;58;58;138;Hegemony and decline: Reflections on recent American experience ;2005-02-28 09:08:06;2011-06-21 15:19:25;#David Calleo;#Politique et société #États-Unis #Relations internationales #Guerre et conflit;Gérard Wormser;;
;2005;;;13;58;58;119;World Hegemony and its Aftermath;2005-02-28 11:03:18;2011-06-21 15:41:52;#Hall Gardner;#Politique et société #Europe #États-Unis #Mondialisation #Relations internationales #Guerre et conflit;Gérard Wormser;;
;2005;;;14;58;58;163;Violence et Histoire;2005-03-02 09:06:00;2011-01-04 03:38:57;#Gérard Wormser;#Histoire #Philosophie #Politique et société #Mondialisation #Relations internationales #Guerre et conflit;Gérard Wormser;;
;2005;;;15;58;58;149;After Cancun: the future of free trade                                                                     ;2005-03-05 11:33:58;2011-06-21 15:52:03;#Albert Fishlow;#Politique et société #Mondialisation #Relations internationales #Guerre et conflit;Gérard Wormser;;
;2005;;;16;58;58;141;Debates, presiones y paradojas;2005-03-05 11:35:40;2011-06-21 15:59:07;#Orlando   Trujillo Irurita;#Politique et société #Asie #Guerre et conflit #Démocratie;Gérard Wormser;;
;2005;;;17;58;58;145;Cultura política e identidad nacional en Japón;2005-03-05 11:36:15;2011-06-21 16:30:16;#Orlando   Trujillo Irurita;#Asie #Identité #Nation, nationalisme #Guerre et conflit;Gérard Wormser;;
;2005;;;18;58;58;147;Asistencia humanitaria en Colombia ;2005-03-05 11:37:28;2011-06-21 16:33:38;#Alejandro Laserna Botero;#Amérique latine #Politique et société #Pays en développement;Gérard Wormser;;
;2005;;;19;58;58;148;El Partisano del Tercer Mundo;2005-03-05 11:40:50;2011-06-21 16:37:48;#Alejandro Laserna Botero;#Amérique latine #Politique et société #Pays en développement #Guerre et conflit;Gérard Wormser;;
;2005;;;20;58;58;151;Globalization and inter-culturel dialogue ;2005-03-05 13:09:11;2011-06-21 16:40:07;#William Mac Bride;#Politique et société #États-Unis #Mondialisation #Diversité culturelle;Gérard Wormser;;
;2005;;;21;58;58;152;Une certaine idée de la discrimination positive;2005-03-05 18:42:46;2011-06-21 18:01:42;#Gaston Kelman;#Politique et société #Espace public #Travail et emploi #Diversité culturelle #Minorités;Gérard Wormser;;
;2005;;;22;58;58;122;La dimension sacrée de la légitimation politique : l'incarnation  présidentielle;2005-03-05 23:18:00;2011-08-09 15:27:29;#Olivier Rouquan;#Politique et société #Milieu politique #Élections présidentielles #France;Gérard Wormser;;
;2005;;;23;58;58;161;La société presque juste et le mal du début du siècle;2005-03-06 00:28:45;2011-08-09 15:25:52;#William Mac Bride;#Philosophie #Politique et société #États-Unis #Droits humains;Gérard Wormser;;
;2005;;;24;58;58;162;La paix perpétuelle ;2005-03-06 08:57:17;2011-08-09 15:23:44;#Gérard Wormser;#Philosophie #Weber, Max #Kant #Rousseau #Clausewitz (von), Carl #Smith, Adam #Guerre et conflit;Gérard Wormser;;
;2005;;;25;58;58;164;Le 11 septembre 2001 : un « fait social total »;2005-03-06 09:13:07;2011-03-23 06:00:08;#Gérard Wormser;#Histoire #États-Unis;Gérard Wormser;;
;2005;;;26;58;58;165;Nous, les barbares : l'éthique de la responsabilité ;2005-03-06 09:20:33;2011-04-04 06:18:01;#Gérard Wormser;#Smith, Adam;Gérard Wormser;;
;2005;;;27;58;58;166;Lauve le pur, un masculin pur ou féminimasculin ?;2005-03-06 23:27:02;2011-04-01 03:41:51;#Zuzana Malinovska-Salamonova;#Millet, Richard;Gérard Wormser;;
;2005;;;28;58;58;168;Portrait de femme chez Richard Millet ;2005-03-06 23:33:26;2011-08-09 15:20:32;#Zuzana Malinovska-Salamonova;#Millet, Richard;Gérard Wormser;;
;2005;;;29;58;58;170;Le danseur est une personne;2005-03-06 23:42:15;2011-01-14 04:03:45;#Nathalie Schulmann;;Gérard Wormser;;
;2005;;;30;58;58;172;Lavements de l'image et évaporation du sujet : Dead Man (1995) de Jim Jarmusch;2005-03-07 09:39:34;2011-08-09 15:18:29;#Jean­­-Baptiste  Chantoiseau;#Jarmush, Jim #Deleuze, Gilles;Gérard Wormser;;
;2005;;;31;58;58;857;Nazisme et guerre totale : entre mécanique et mystique;2005-03-07 15:47:00;2011-08-01 10:55:37;#Johann Chapoutot;#Histoire #Politique et société #Europe #Les mécanismes guerriers #Clausewitz (von), Carl #Heidegger, Martin #Guerre et conflit;Gérard Wormser;;
;2005;;;32;58;58;173;Mujer, violencia, espectáculo: la guerra civil española en 'Libertarias' (1996) de Vicente Aranda;2005-03-11 21:23:19;2011-06-21 18:15:35;#Helena Lopez;#Genres #Arts et lettres #Politique et société #Cinéma #Guerre et conflit;Gérard Wormser;;
;2005;;;33;58;58;150;Kant's moral philosophy and the question of pre-emptive war;2005-03-24 13:10:00;2011-06-21 18:36:14;#William Mac Bride;#Philosophie #Politique et société #Europe #États-Unis #Kant #Guerre et conflit;Gérard Wormser;;
;2005;;;34;58;58;175;L'identité et le déplacement forcé en Colombie;2005-03-25 08:34:52;2011-08-09 15:16:35;#Kasia Ortiz;#Amérique latine #Guerre et conflit #Colombie;Gérard Wormser;;
;2005;;;35;58;58;174;L'anglophobie est morte ! Vive l'antiaméricanisme ?;2005-05-05 07:15:27;2011-06-22 15:11:05;#Fabrice Serodes;#Histoire #Politique et société #Europe #États-Unis #Relations internationales #France;Gérard Wormser;;
;2005;;;36;76;76;112;Le modèle politique français, la société civile contre le jacobinisme de 1789 à nos jours;2005-02-25 13:52:51;2011-11-03 16:51:44;#Christophe Premat;#Rousseau #Negri, Antonio;Gérard Wormser;;
;2005;;;37;76;76;123;France : la réforme impossible ?;2005-02-25 15:17:16;2011-11-03 18:03:13;#Olivier Rouquan;;Gérard Wormser;;
;2005;;;38;76;76;127;Socialisme et judéité dans l'Empire russe;2005-02-25 15:19:15;2011-06-21 12:03:20;#Gabrielle Chomentowski;#Histoire #Politique et société #Europe #Milieu politique #Socialisme et Communisme #Mouvement social;Gérard Wormser;;
;2006;;337;1;107;107;337;Tolérance et Différence;2006-09-28 22:15:00;2011-10-20 02:28:38;# Sens Public;#Thiry, Marcel  #Zeyer, Julius;Gérard Wormser;;
;2006;;337;2;58;58;340;La naissance de la tolérance au 16e siècle : l'« invention » du massacre;2006-09-24 12:43:23;2011-08-01 16:12:56;#David El Kenz;#Histoire #Politique et société #Europe #Tolérance et Différence #Religions #Guerre et conflit;Gérard Wormser;;
;2006;;337;3;58;58;341;Minorités et les Luttes de Libération en Amérique Centrale;2006-09-25 05:11:10;2011-08-01 16:22:47;#Frantz Toussaint;#Amérique latine #Histoire #Politique et société #Tolérance et Différence;Gérard Wormser;;
;2006;;337;4;58;58;345;L'apôtre Paul, un marrane absolu avant la lettre;2006-10-04 00:38:34;2011-08-01 16:24:42;#Marc Goldschmit;#Arts et lettres #Histoire #Politique et société #Tolérance et Différence #Religions;Gérard Wormser;;
;2006;;541;1;58;58;277;Des ajustements pour democratiser la Ve République;2006-04-24 11:57:36;2011-07-29 12:12:51;#Olivier Rouquan;#Politique et société #Démocratie #Les évolutions contemporaines du régime représentatif;Gérard Wormser;;
;2006;;541;2;58;58;293;Des inquiétudes et une demande d'autorité;2006-06-01 13:46:28;2011-07-29 12:09:00;#Olivier Rouquan;#Politique et société #Milieu politique #Espace public #Élections présidentielles #Entreprises #Diversité culturelle #Éducation et enseignement #Les évolutions contemporaines du régime représentatif;Gérard Wormser;;
;2006;;541;3;58;58;343;"Quelques remarques à propos de l'effet de communication ""Ségolène""";2006-09-27 15:18:43;2011-07-29 12:07:43;#Olivier Rouquan;#Politique et société #Élections présidentielles #Les évolutions contemporaines du régime représentatif;Gérard Wormser;;
;2006;;541;4;58;58;353;Malentendus sur la démocratie participative;2006-12-05 03:55:30;2008-04-11 02:57:17;#Christophe Premat;#Politique et société #Démocratie #Condorcet #France #Les évolutions contemporaines du régime représentatif;Gérard Wormser;;
;2006;;541;6;76;76;227;Régulations et stratégies présidentialisées sous la Ve République;2006-02-22 22:58:34;2011-07-29 12:14:10;#Olivier Rouquan;#Les évolutions contemporaines du régime représentatif;Gérard Wormser;;
;2006;;541;7;76;76;288;« La société n'est pas bloquée, les décideurs le sont... »;2006-05-29 11:34:39;2011-11-15 12:06:23;#Olivier Rouquan;#Arts et lettres #Politique et société #Démocratie #Les évolutions contemporaines du régime représentatif;Gérard Wormser;;
;2006;;541;5;113;113;355;"Michel Rocard : ""la pré-campagne médiatique est une forfaiture""";2006-11-06 14:45:20;2011-07-29 12:05:26;#Olivier Rouquan #Michel Rocard;#Politique et société #Milieu politique #Démocratie #Élections présidentielles #Édition, presse et médias #Socialisme et Communisme #Les évolutions contemporaines du régime représentatif;Gérard Wormser;;
;2006;;542;1;58;58;297;"Jacques Derrida : le ""peut-être"" d'une venue de l'autre-femme";2006-07-31 13:10:00;2011-10-08 23:31:23;#Carole Dely;#Genres #Beauvoir (de), Simone #Arts et lettres #Philosophie #Politique et société #Derrida, Jacques  #Video et son #Altérité;Gérard Wormser;;
;2006;;544;1;58;58;234;Sartre et le parti communiste français (PCF) après la libération (1944-1948);2006-03-02 00:15:06;2011-10-12 11:15:56;#David Drake;#Beauvoir (de), Simone #Politique et société #Sartre, Jean-Paul #Heidegger, Martin #Merleau-Ponty, Maurice #Desanti, Dominique #Relations internationales #Socialisme et Communisme #France;Gérard Wormser;;
;2006;;544;2;58;58;300;Living with Mother: Sartre and the problem of Maternity;2006-07-14 01:20:00;2011-12-13 18:55:37;#Benedict O'Donohoe;#Beauvoir (de), Simone #Sartre, Jean-Paul;Gérard Wormser;;
;2006;;544;3;58;58;363;Resposta a Juliette Simont;2006-11-14 17:10:42;2011-07-29 15:53:44;#André Dalpicolo;#Sartre, Jean-Paul;Gérard Wormser;;
